SNP	BETA_TRUE
rs140	0.000000e+00
rs141	0.000000e+00
rs142	0.000000e+00
rs143	0.000000e+00
rs144	0.000000e+00
rs145	-2.764275e-02
rs146	0.000000e+00
rs147	0.000000e+00
rs148	0.000000e+00
rs149	0.000000e+00
rs150	0.000000e+00
rs151	0.000000e+00
rs152	0.000000e+00
rs153	6.323303e-02
rs154	0.000000e+00
rs155	8.718343e-02
rs156	0.000000e+00
rs157	0.000000e+00
rs158	0.000000e+00
rs159	0.000000e+00
rs160	0.000000e+00
rs161	-1.627305e-03
rs162	0.000000e+00
rs163	0.000000e+00
rs164	0.000000e+00
rs165	0.000000e+00
rs166	0.000000e+00
rs167	0.000000e+00
rs168	0.000000e+00
rs169	0.000000e+00
rs170	-6.579092e-02
rs171	-7.023781e-02
rs172	0.000000e+00
rs173	0.000000e+00
rs174	0.000000e+00
rs175	0.000000e+00
rs176	0.000000e+00
rs177	0.000000e+00
rs178	0.000000e+00
rs179	0.000000e+00
rs180	0.000000e+00
rs181	0.000000e+00
rs182	0.000000e+00
rs183	0.000000e+00
rs184	0.000000e+00
rs185	0.000000e+00
rs186	0.000000e+00
rs187	0.000000e+00
rs188	0.000000e+00
rs189	0.000000e+00
rs190	0.000000e+00
rs191	0.000000e+00
rs192	-3.657458e-02
rs193	0.000000e+00
rs194	0.000000e+00
rs195	0.000000e+00
rs196	0.000000e+00
rs197	0.000000e+00
rs198	0.000000e+00
rs199	0.000000e+00
rs200	0.000000e+00
rs201	0.000000e+00
rs202	0.000000e+00
rs203	0.000000e+00
rs204	0.000000e+00
rs205	0.000000e+00
rs206	0.000000e+00
rs207	0.000000e+00
rs208	0.000000e+00
rs209	0.000000e+00
rs210	0.000000e+00
rs211	0.000000e+00
rs212	0.000000e+00
rs213	0.000000e+00
rs214	0.000000e+00
rs215	0.000000e+00
rs216	0.000000e+00
rs217	4.229962e-02
rs218	0.000000e+00
rs219	0.000000e+00
rs220	-1.223020e-02
rs221	-1.272011e-02
rs222	0.000000e+00
rs223	0.000000e+00
rs224	0.000000e+00
rs225	0.000000e+00
rs226	0.000000e+00
rs227	0.000000e+00
rs228	0.000000e+00
rs229	0.000000e+00
rs230	0.000000e+00
rs231	0.000000e+00
rs232	0.000000e+00
rs233	0.000000e+00
rs234	0.000000e+00
rs235	0.000000e+00
rs236	0.000000e+00
rs237	0.000000e+00
rs238	0.000000e+00
rs239	0.000000e+00
rs240	-3.408228e-02
rs241	0.000000e+00
rs242	0.000000e+00
rs243	0.000000e+00
rs244	0.000000e+00
rs245	0.000000e+00
rs246	6.191629e-02
rs247	0.000000e+00
rs248	0.000000e+00
rs249	0.000000e+00
rs250	0.000000e+00
rs251	0.000000e+00
rs252	4.895470e-02
rs253	0.000000e+00
rs254	0.000000e+00
rs255	0.000000e+00
rs256	0.000000e+00
rs257	0.000000e+00
rs258	0.000000e+00
rs259	0.000000e+00
rs260	0.000000e+00
rs261	0.000000e+00
rs262	0.000000e+00
rs263	0.000000e+00
rs264	0.000000e+00
rs265	0.000000e+00
rs266	0.000000e+00
rs267	0.000000e+00
rs268	0.000000e+00
rs269	1.293585e-01
rs270	0.000000e+00
rs271	2.428629e-02
rs272	0.000000e+00
rs273	0.000000e+00
rs274	0.000000e+00
rs275	0.000000e+00
rs276	0.000000e+00
rs277	0.000000e+00
rs278	0.000000e+00
rs279	0.000000e+00
rs280	0.000000e+00
rs281	0.000000e+00
rs282	0.000000e+00
rs283	0.000000e+00
rs284	0.000000e+00
rs285	0.000000e+00
rs286	-7.582611e-02
rs287	0.000000e+00
rs288	0.000000e+00
rs289	0.000000e+00
rs290	0.000000e+00
rs291	0.000000e+00
rs292	0.000000e+00
rs293	0.000000e+00
rs294	0.000000e+00
rs295	0.000000e+00
rs296	0.000000e+00
rs297	0.000000e+00
rs298	0.000000e+00
rs299	0.000000e+00
rs300	0.000000e+00
rs301	0.000000e+00
rs302	0.000000e+00
rs303	0.000000e+00
rs304	0.000000e+00
rs305	0.000000e+00
rs306	0.000000e+00
rs307	0.000000e+00
rs308	0.000000e+00
rs309	0.000000e+00
rs310	0.000000e+00
rs311	0.000000e+00
rs312	0.000000e+00
rs313	0.000000e+00
rs314	0.000000e+00
rs315	0.000000e+00
rs316	0.000000e+00
rs317	0.000000e+00
rs318	0.000000e+00
rs319	0.000000e+00
rs320	0.000000e+00
rs321	0.000000e+00
rs322	0.000000e+00
rs323	0.000000e+00
rs324	0.000000e+00
rs325	0.000000e+00
rs326	3.671826e-02
rs327	0.000000e+00
rs328	0.000000e+00
rs329	0.000000e+00
rs330	0.000000e+00
rs331	0.000000e+00
rs332	0.000000e+00
rs333	0.000000e+00
rs334	0.000000e+00
rs335	0.000000e+00
rs336	0.000000e+00
rs337	0.000000e+00
rs338	0.000000e+00
rs339	0.000000e+00
rs340	7.954563e-03
rs341	1.153633e-01
rs342	0.000000e+00
rs343	0.000000e+00
rs344	0.000000e+00
rs345	0.000000e+00
rs346	0.000000e+00
rs347	0.000000e+00
rs348	0.000000e+00
rs349	0.000000e+00
rs350	0.000000e+00
rs351	0.000000e+00
rs352	0.000000e+00
rs353	0.000000e+00
rs354	0.000000e+00
rs355	0.000000e+00
rs356	0.000000e+00
rs357	0.000000e+00
rs358	0.000000e+00
rs359	0.000000e+00
rs360	0.000000e+00
rs361	0.000000e+00
rs362	0.000000e+00
rs363	0.000000e+00
rs364	0.000000e+00
rs365	0.000000e+00
rs366	0.000000e+00
rs367	0.000000e+00
rs368	0.000000e+00
rs369	0.000000e+00
rs370	0.000000e+00
rs371	0.000000e+00
rs372	0.000000e+00
rs373	6.269587e-02
rs374	0.000000e+00
rs375	0.000000e+00
rs376	0.000000e+00
rs377	0.000000e+00
rs378	0.000000e+00
rs379	0.000000e+00
rs380	0.000000e+00
rs381	0.000000e+00
rs382	0.000000e+00
rs383	0.000000e+00
rs384	1.881827e-01
rs385	0.000000e+00
rs386	0.000000e+00
rs387	0.000000e+00
rs388	0.000000e+00
rs389	0.000000e+00
rs390	0.000000e+00
rs391	0.000000e+00
rs392	-1.013675e-02
rs393	3.111332e-02
rs394	0.000000e+00
rs395	-1.238782e-01
rs396	0.000000e+00
rs397	0.000000e+00
rs398	0.000000e+00
rs399	0.000000e+00
rs400	0.000000e+00
rs401	0.000000e+00
rs402	0.000000e+00
rs403	0.000000e+00
rs404	0.000000e+00
rs405	0.000000e+00
rs406	0.000000e+00
rs407	0.000000e+00
rs408	0.000000e+00
rs409	0.000000e+00
rs410	0.000000e+00
rs411	0.000000e+00
rs412	0.000000e+00
rs413	0.000000e+00
rs414	0.000000e+00
rs415	0.000000e+00
rs416	0.000000e+00
rs417	0.000000e+00
rs418	0.000000e+00
rs419	0.000000e+00
rs420	0.000000e+00
rs421	0.000000e+00
rs422	0.000000e+00
rs423	0.000000e+00
rs424	0.000000e+00
rs425	0.000000e+00
rs426	0.000000e+00
rs427	0.000000e+00
rs428	0.000000e+00
rs429	0.000000e+00
rs430	0.000000e+00
rs431	0.000000e+00
rs432	0.000000e+00
rs433	0.000000e+00
rs434	0.000000e+00
rs435	0.000000e+00
rs436	0.000000e+00
rs437	0.000000e+00
rs438	0.000000e+00
rs439	0.000000e+00
rs440	0.000000e+00
rs441	0.000000e+00
rs442	0.000000e+00
rs443	0.000000e+00
rs444	0.000000e+00
rs445	0.000000e+00
rs446	0.000000e+00
rs447	0.000000e+00
rs448	0.000000e+00
rs449	7.472501e-02
rs450	2.415795e-02
rs451	0.000000e+00
rs452	0.000000e+00
rs453	0.000000e+00
rs454	0.000000e+00
rs455	-4.966848e-02
rs456	0.000000e+00
rs457	0.000000e+00
rs458	-8.972854e-02
rs459	0.000000e+00
rs460	0.000000e+00
rs461	0.000000e+00
rs462	0.000000e+00
rs463	0.000000e+00
rs464	0.000000e+00
rs465	0.000000e+00
rs466	0.000000e+00
rs467	1.799185e-01
rs468	0.000000e+00
rs469	0.000000e+00
rs470	0.000000e+00
rs471	0.000000e+00
rs472	0.000000e+00
rs473	3.159338e-03
rs474	0.000000e+00
rs475	0.000000e+00
rs476	0.000000e+00
rs477	0.000000e+00
rs478	0.000000e+00
rs479	0.000000e+00
rs480	0.000000e+00
rs481	-2.952134e-02
rs482	0.000000e+00
rs483	0.000000e+00
rs484	9.253201e-02
rs485	0.000000e+00
rs486	0.000000e+00
rs487	1.120098e-01
rs488	0.000000e+00
rs489	0.000000e+00
rs490	0.000000e+00
rs491	0.000000e+00
rs492	0.000000e+00
rs493	0.000000e+00
rs494	0.000000e+00
rs495	0.000000e+00
rs496	0.000000e+00
rs497	0.000000e+00
rs498	0.000000e+00
rs499	0.000000e+00
rs500	6.610333e-02
